,기준일(date),누적확진자수(valdiSum),누적사망자수(deathSum),일일확진자수(onedayvaldi),일일사망자수(onedayDeath)
0,20211112,390717,3051,2368,18
1,20211111,388349,3033,2520,21
2,20211110,385829,3012,2425,14
3,20211109,383404,2998,1717,18
4,20211108,381687,2980,1754,13
5,20211107,379933,2967,2225,11
6,20211106,377708,2956,2246,20
7,20211105,375462,2936,2343,20
8,20211104,373119,2916,2482,24
9,20211103,370637,2892,2667,18
10,20211102,367970,2874,1588,16
11,20211101,366382,2858,1685,9
12,20211031,364697,2849,2061,19
13,20211030,362636,2830,2104,13
14,20211029,360532,2817,2121,9
15,20211028,358411,2808,2111,11
16,20211027,356300,2797,1945,9
17,20211026,354355,2788,1272,15
18,20211025,353083,2773,1190,7
19,20211024,351893,2766,1421,21
20,20211023,350472,2745,1508,20
21,20211022,348964,2725,1438,16
22,20211021,347526,2709,1441,11
23,20211020,346085,2698,1571,9
24,20211019,344514,2689,1073,21
25,20211018,343441,2668,1050,8
26,20211017,342391,2660,1420,16
27,20211016,340971,2644,1617,18
28,20211015,339354,2626,1683,8
29,20211014,337671,2618,1939,13
30,20211013,335732,2605,1583,11
31,20211012,334149,2594,1346,11
32,20211011,332803,2583,1297,8
33,20211010,331506,2575,1594,15
34,20211009,329912,2560,1953,6
35,20211008,327959,2554,2171,10
36,20211007,325788,2544,2425,8
37,20211006,323363,2536,2027,12
38,20211005,321336,2524,1574,11
39,20211004,319762,2513,1670,6
40,20211003,318092,2507,2085,3
41,20211002,316007,2504,2247,7
42,20211001,313760,2497,2484,16
43,20210930,311276,2481,2561,7
44,20210929,308715,2474,2881,10
45,20210928,305834,2464,2288,8
46,20210927,303546,2456,2381,6
47,20210926,301165,2450,2768,9
48,20210925,298397,2441,3270,7
49,20210924,295127,2434,2429,7
50,20210923,292698,2427,1715,8
51,20210922,290983,2419,1720,6
52,20210921,289263,2413,1729,4
53,20210920,287534,2409,1604,6
54,20210919,285930,2403,1909,9
55,20210918,284021,2394,2087,5
56,20210917,281934,2389,2008,3
57,20210916,279926,2386,1942,6
58,20210915,277984,2380,2065,13
59,20210914,275919,2367,1508,7
60,20210913,274411,2360,1433,1
61,20210912,272978,2359,1755,1
62,20210911,271223,2358,1864,10
63,20210910,269359,2348,1893,5
64,20210909,267466,2343,2049,9
65,20210908,265417,2334,2047,4
66,20210907,263370,2330,1597,3
67,20210906,261773,2327,1375,6
68,20210905,260398,2321,1490,6
69,20210904,258908,2315,1803,7
70,20210903,257105,2308,1708,5
71,20210902,255397,2303,1960,11
72,20210901,253437,2292,2024,7
73,20210831,251413,2285,1370,1
74,20210830,250043,2284,1485,5
75,20210829,248558,2279,1619,3
76,20210828,246939,2276,1791,11
77,20210827,245148,2265,1837,8
78,20210826,243311,2257,1882,20
79,20210825,241429,2237,2154,9
80,20210824,239275,2228,1507,6
81,20210823,237768,2222,1417,7
82,20210822,236351,2215,1626,13
83,20210821,234725,2202,1787,5
84,20210820,232938,2197,2140,6
85,20210819,230798,2191,2152,13
86,20210818,228646,2178,1803,5
87,20210817,226843,2173,1372,6
88,20210816,225471,2167,1554,11
89,20210815,223917,2156,1816,8
90,20210814,222101,2148,1928,4
91,20210813,220173,2144,1989,6
92,20210812,218184,2138,1987,3
93,20210811,216197,2135,2221,1
94,20210810,213976,2134,1537,9
95,20210809,212439,2125,1491,4
96,20210808,210948,2121,1727,5
97,20210807,209221,2116,1823,3
98,20210806,207398,2113,1704,4
99,20210805,205694,2109,1775,3
100,20210804,203919,2106,1725,2
101,20210803,202194,2104,1200,5
102,20210802,200994,2099,1218,1
103,20210801,199776,2098,1442,3
104,20210731,198334,2095,1538,6
105,20210730,196796,2089,1710,4
106,20210729,195086,2085,1673,2
107,20210728,193413,2083,1895,4
108,20210727,191518,2079,1363,2
109,20210726,190155,2077,1318,4
110,20210725,188837,2073,1487,5
111,20210724,187350,2068,1627,2
112,20210723,185723,2066,1629,3
113,20210722,184094,2063,1841,3
114,20210721,182253,2060,1781,1
115,20210720,180472,2059,1278,1
116,20210719,179194,2058,1251,1
117,20210718,177943,2057,1453,2
118,20210717,176490,2055,1449,4
119,20210716,175041,2051,1535,1
120,20210715,173506,2050,1599,2
121,20210714,171907,2048,1613,2
122,20210713,170294,2046,1150,2
123,20210712,169144,2044,1100,1
124,20210711,168044,2043,1324,5
125,20210710,166720,2038,1378,2
126,20210709,165342,2036,1316,2
127,20210708,164026,2034,1275,1
128,20210707,162751,2033,1211,1
129,20210706,161540,2032,746,4
130,20210705,160794,2028,711,2
131,20210704,160083,2026,743,1
132,20210703,159340,2025,794,1
133,20210702,158546,2024,825,3
134,20210701,157721,2021,761,3
135,20210630,156960,2018,794,1
136,20210629,156166,2017,595,2
137,20210628,155571,2015,501,2
138,20210627,155070,2013,614,1
139,20210626,154456,2012,668,3
140,20210625,153788,2009,634,1
141,20210624,153154,2008,610,1
142,20210623,152544,2007,645,1
143,20210622,151899,2006,394,2
144,20210621,151505,2004,357,2
145,20210620,151148,2002,429,5
146,20210619,150719,1997,482,1
147,20210618,150237,1996,507,2
148,20210617,149730,1994,540,1
149,20210616,149190,1993,545,1
150,20210615,148645,1992,373,4
151,20210614,148272,1988,399,3
152,20210613,147873,1985,452,3
153,20210612,147421,1982,565,1
154,20210611,146856,1981,556,2
155,20210610,146300,1979,610,2
156,20210609,145690,1977,602,2
157,20210608,145088,1975,454,1
158,20210607,144634,1974,485,1
159,20210606,144149,1973,556,2
160,20210605,143593,1971,744,2
161,20210604,142849,1969,695,1
162,20210603,142154,1968,681,3
163,20210602,141473,1965,677,2
164,20210601,140796,1963,459,4
165,20210531,140337,1959,430,2
166,20210530,139907,1957,480,6
167,20210529,139427,1951,533,5
168,20210528,138894,1946,587,3
169,20210527,138307,1943,629,3
170,20210526,137678,1940,705,2
171,20210525,136973,1938,516,4
172,20210524,136457,1934,530,3
173,20210523,135927,1931,585,5
174,20210522,135342,1926,666,4
175,20210521,134676,1922,561,6
176,20210520,134115,1916,646,4
177,20210519,133469,1912,654,8
178,20210518,132815,1904,528,1
179,20210517,132287,1903,619,3
180,20210516,131668,1900,610,4
181,20210515,131058,1896,681,3
182,20210514,130377,1893,747,2
183,20210513,129630,1891,715,7
184,20210512,128915,1884,634,5
185,20210511,128281,1879,510,4
186,20210510,127771,1875,463,1
187,20210509,127308,1874,564,9
188,20210508,126744,1865,701,5
189,20210507,126043,1860,525,9
190,20210506,125518,1851,574,4
191,20210505,124944,1847,676,7
192,20210504,124268,1840,541,6
193,20210503,123727,1834,488,1
194,20210502,123239,1833,606,2
195,20210501,122633,1831,627,3
196,20210430,122006,1828,661,3
197,20210429,121345,1825,679,4
198,20210428,120666,1821,769,1
199,20210427,119897,1820,512,3
200,20210426,119385,1817,499,4
