,집계 날짜(sumDate),교통량(trafficSum)
0,20211112,4066420
1,20211111,3707383
2,20211110,3592155
3,20211109,3506020
4,20211108,3416954
5,20211107,3656419
6,20211106,4146019
7,20211105,4161124
8,20211104,3762795
9,20211103,3707089
10,20211102,3678797
11,20211101,3714808
12,20211031,3612116
13,20211030,4041069
14,20211029,4096215
15,20211028,3791610
16,20211027,3746445
17,20211026,3737377
18,20211025,3772475
19,20211024,3542858
20,20211023,4002108
21,20211022,4067112
22,20211021,3733431
23,20211020,3702002
24,20211019,3636476
25,20211018,3731367
26,20211017,3304490
27,20211016,3674588
28,20211015,4036176
29,20211014,3801768
30,20211013,3697704
31,20211012,3623747
32,20211011,3468156
33,20211010,3575474
34,20211009,4099823
35,20211008,4047050
36,20211007,3675870
37,20211006,3609696
38,20211005,3678933
39,20211004,3505183
40,20211003,3562520
41,20211002,3929921
42,20211001,4012090
43,20210930,3675980
44,20210929,3404230
45,20210928,3657962
46,20210927,3670459
47,20210926,3036575
48,20210925,3522996
49,20210924,3813737
50,20210923,3591987
51,20210922,3370058
52,20210921,3964292
53,20210920,3412546
54,20210919,3515421
55,20210918,3729657
56,20210917,3873159
57,20210916,3871369
58,20210915,3834452
59,20210914,3755855
60,20210913,3832797
61,20210912,3518525
62,20210911,4053490
63,20210910,4059037
64,20210909,3770665
65,20210908,3646639
66,20210907,3370018
67,20210906,3616557
68,20210905,3496782
69,20210904,3984497
70,20210903,3996665
71,20210902,3557844
72,20210901,3338034
73,20210831,3459691
74,20210830,3686703
75,20210829,3129074
76,20210828,3712656
77,20210827,3813959
78,20210826,3663575
79,20210825,3440105
80,20210824,3153149
81,20210823,3371163
82,20210822,2995543
83,20210821,2958000
84,20210820,3949775
85,20210819,3635819
86,20210818,3571364
87,20210817,3607333
88,20210816,3502304
89,20210815,3382408
90,20210814,3626963
91,20210813,4025726
92,20210812,3710754
93,20210811,3667521
94,20210810,3603369
95,20210809,3632003
96,20210808,2963868
97,20210807,3547148
